[2023-07-03 09:37:04,011] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-03 10:15:51,757] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 10:24:23,957] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 10:24:28,227] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 10:34:10,995] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 10:34:38,445] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 10:34:42,461] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 10:37:10,829] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1789
[2023-07-03 10:37:13,928] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1789
[2023-07-03 10:37:22,353] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1789
[2023-07-03 10:40:35,442] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1789
[2023-07-03 10:40:47,291] INFO in app: path: /web/nav | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-03 10:41:12,325] INFO in app: path: /web/nav | method: GET | status: 500 INTERNAL SERVER ERROR | size: 265
[2023-07-03 10:41:17,409] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 4525
[2023-07-03 10:41:17,574] INFO in app: path: /static/favicon.ico | method: GET | status: 404 NOT FOUND | size: 207
[2023-07-03 10:41:56,898] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 4063
[2023-07-03 10:43:07,637] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 10:43:56,095] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 10:44:01,721] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 2410
[2023-07-03 10:44:03,594] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 2809
